Season,Lowest temperature (C),Sunshine duration (hours),Maximum snow depth (cm),Total snowfall (cm)
1,-11.1,7.6,137,0
1,-3.5,1.8,135,5
1,-4.6,0,184,58
1,-4.5,0.8,185,12
1,-6.4,0.8,173,1
1,-6,1.4,163,6
1,-6,0,168,12
1,-4.7,5.6,160,0
1,-4,6,150,0
1,-3.8,0,150,11
1,-6.1,2.7,155,10
1,-6.3,0,169,17
1,-7.6,0.6,167,0
1,-7.3,2.6,160,1
1,-8.8,4.4,153,0
1,-13.3,3.3,154,8
1,-14,5.8,150,0
1,-18.2,6.2,144,0
1,-5.6,3.4,148,10
1,-6.5,1,142,0
1,-6.9,1.9,144,7
1,-7.7,7.2,146,3
1,-10.8,8.4,140,1
1,-11.8,0.7,145,10
1,-4.9,5.1,145,0
1,-8.4,1.8,142,0
1,-7.6,5.7,140,1
1,-14.8,8.5,137,1
1,-17,1.6,136,5
1,-15.9,6.9,137,2
1,-18.7,8.6,133,0
1,-11.2,0.1,156,26
1,-15.2,2.7,157,4
1,-14.7,7.5,151,4
1,-6.4,0.6,168,26
1,-15.1,8.5,165,0
1,-18.4,8.7,153,0
1,-17.4,8.1,149,0
1,-4.2,2.8,153,7
1,-3.9,3.9,149,7
1,-8.3,4.4,150,7
1,-13,4.3,158,12
1,-15.4,7.1,154,0
1,-9.3,5.6,146,0
1,0,0.9,141,1
1,-1.5,8.5,135,0
1,-0.8,0.3,131,1
1,-11.3,2.5,139,13
1,-15.5,9,134,0
1,-5,4.6,127,0
1,-8.4,3.6,124,0
1,-10.6,5.8,123,1
1,-15.2,7.4,123,1
1,-8.3,0,129,8
1,-3.8,1.9,131,6
1,-10.2,1.8,127,0
1,-11.9,0,148,24
1,-11.1,0.6,157,15
1,-17.7,7.5,154,0
1,-9.3,4.9,147,2
1,-9.9,9.8,141,1
1,-13.6,9,137,2
1,-3.4,1,134,1
1,-3.5,3.5,133,5
1,-4.8,0,154,20
1,-11,8,151,10
1,-6.7,5.5,147,2
1,-5.9,0,142,8
1,-4.8,7.6,145,9
1,-9.3,9.8,142,0
1,-12.2,10,136,0
1,-7.7,6,131,0
1,1.7,0.5,126,2
1,-2.7,2.7,125,10
1,-3.8,8,126,4
1,-6.5,8.4,118,0
1,-9.4,10.2,115,0
1,-6.1,10,108,0
1,0.3,9.2,100,0
1,-1,0.2,92,3
1,1.8,9.3,87,1
1,-0.8,7.6,79,1
1,-4.1,9.6,71,0
1,2.4,0,65,4
1,-0.9,2.9,62,4
1,-1.9,6.7,68,9
1,-5.3,10.4,58,0
1,-6,10.5,54,0
1,-3.5,9.4,50,0
1,-3.9,0,44,2
0,-4.5,5.7,44,1
0,-0.6,0.7,39,3
0,-6.5,11,38,0
0,-2,1.5,33,0
0,-2.7,0.9,30,1
0,1.8,0.7,25,0
0,-2.1,11.2,22,0
0,-5,11.3,14,0
0,-1.5,7.6,8,1
0,3.7,1.1,2,1
0,1.5,11.5,0,0
0,-0.2,9.3,0,0
0,1.6,0,0,0
0,-0.1,11.1,0,0
0,-1.9,9.5,0,0
0,1.7,0.3,0,0
0,1.6,7.2,0,0
0,0.3,6.2,0,0
0,0,2.1,0,0
0,3.1,3.8,0,0
0,-0.1,8.7,0,0
0,-1.9,11.5,0,0
0,-0.3,11.6,0,0
0,2,10,0,0
0,3.1,2.6,0,0
0,-1.1,11.9,0,0
0,2.2,11.4,0,0
0,1.6,10.3,0,0
0,2.5,9.8,0,0
0,9.7,5.4,0,0
0,4.9,11.9,0,0
0,5.1,6.3,0,0
0,4.5,3.3,0,0
0,2.6,6.5,0,0
0,-0.3,11.1,0,0
0,6.3,0,0,0
0,7.3,0,0,0
0,8.2,11.2,0,0
0,9,10.2,0,0
0,11.7,0.8,0,0
0,12.6,1.8,0,0
0,7.5,0,0,0
0,3.1,9.8,0,0
0,2.7,10.3,0,0
0,6.8,5.8,0,0
0,4.2,9.3,0,0
0,6.1,0,0,0
0,5.5,6.2,0,0
0,3.2,6,0,0
0,3.5,7.5,0,0
0,2.1,9.5,0,0
0,3.5,9.3,0,0
0,6,11.3,0,0
0,9.7,0.9,0,0
